PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.186,70.31,69.27,73.06,63.29,73.13,69.15,50.06,62.75,61.57
fig|645463.3.peg.187,3623.6,3658.54,3406.23,4789.78,4579.44,4812.02,4405.04,4617.19,4523.73
fig|645463.3.peg.188,44.67,51.69,48.19,22.85,25.03,26.42,26.43,29.12,29.28
fig|645463.3.peg.189,2332.17,2484.8,2284.09,822.98,786.99,801.29,3300.01,3642.7,3499.9
fig|645463.3.peg.190,1145.43,1190.34,1154.77,449.41,389.97,378.76,1910.99,1947.61,1879.92
fig|645463.3.peg.191,2436.62,2709.57,2515.45,891.69,799.42,790.28,3047.41,4052.73,3871.95
fig|645463.3.peg.192,181.95,212.17,230.28,343.96,385.55,462.13,217.71,268.13,283.77
fig|645463.3.peg.193,2.83,2.21,3.13,3.89,4.68,4.93,2.37,3.34,3.4
fig|645463.3.peg.194,1932.5,2012.25,2092.7,1278.64,1267.15,1507.7,1213.87,1476.47,1534.53
fig|645463.3.peg.195,2.01,2.12,2.08,2.68,3.89,3.5,3.08,3.69,3.29
fig|645463.3.peg.196,11.34,14.72,16.31,22.12,25.55,24.3,6.01,7.26,8.67
fig|645463.3.peg.197,156.3,181.41,184.19,84.66,74.53,83.51,130.28,137.21,133.39
fig|645463.3.peg.198,121.14,143.04,147.12,153.41,178.13,178.99,396.63,431.56,451.84
fig|645463.3.peg.199,71.01,72.02,77.54,85.11,90.39,89.43,237.54,237.88,249.98
fig|645463.3.peg.200,94.26,97.42,106.1,126.37,141.52,127.96,357.06,349.37,359.57
fig|645463.3.peg.201,65.24,62.45,73.26,73.47,72.16,77.29,218.85,181.94,189.14
fig|645463.3.peg.202,62.09,65.33,61.94,71.21,79.51,77.64,53.15,71.33,68.56
fig|645463.3.peg.203,30.04,39.12,35.92,73.81,99.35,89.03,39.61,54.1,52.49
fig|645463.3.peg.204,4.25,6.18,5.44,11.87,13.68,14.55,16.3,18.1,18.19
fig|645463.3.peg.205,153.26,177.11,164.85,79.97,102.1,112.77,146.75,165.08,160.34
fig|645463.3.peg.207,177.78,172.13,192.24,77.16,80.12,86.14,233.31,228.14,231.64
fig|645463.3.peg.208,463.74,473.07,505.05,228.29,231.96,237.55,648.59,661.66,682.46
fig|645463.3.peg.209,17.67,17.21,19.32,14.89,15.41,15.37,25.48,26.58,26.67
fig|645463.3.peg.212,335.91,358.1,394.92,377.89,392.51,436.47,343.65,364.63,357.63
fig|645463.3.peg.213,53.03,62.06,64.44,76.07,94.51,104.84,49.87,53.47,51.54
fig|645463.3.peg.214,10.75,12.36,11.52,35.32,38.64,37.61,25.5,27.42,28.31
fig|645463.3.peg.215,6.44,9.4,7.26,19.96,24.15,19.51,17.69,20.97,18.67
fig|645463.3.peg.216,8.88,9.81,11.19,21.35,25.07,24.01,21.34,25.36,25.85
fig|645463.3.peg.217,11.45,13.82,17.02,17.28,19.01,15.91,8.37,16.72,17.47
fig|645463.3.peg.218,32.74,43.65,42.49,14.9,16.07,16.31,26.8,35.88,33.98
fig|645463.3.peg.219,15.49,17.54,19.4,43.07,48.45,46.64,33.82,40.5,42.87
fig|645463.3.peg.220,0.27,0.45,0.41,0.72,0.78,0.74,0.63,0.76,0.66
fig|645463.3.peg.221,0.47,0.55,0.8,0.85,0.87,0.96,1.18,1.06,1.3
