reaction	linear_coefficient
rxn03421_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01023_c	[0.1309494442456775, 0.110184055123497, 0.12694681572777056]
rxn04712_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05371_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn04794_c	[0.0007436338669379188, 0.0007536244574943765, 0.0009091877761898822]
rxn07584_c	[0.028605116081545277, 0.03114105419856937, 0.03015258612519484]
rxn01717_c	[0.023501219380352892, 0.024311366758429702, 0.01901369725117946]
rxn00182_c	[0.00030760758351247244, 0.00027255263604371787, 0.0002752193857253236]
rxn01119_c	[0.0009359632686680472, 0.001506154326088979, 0.0018505023289235765]
rxn00532_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn05172_c	[0.002808487102282807, 0.003054450324819256, 0.002856070434744895]
rxn00132_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn07622_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02819_c	[0.00036435072998564696, 0.0004920177104483983, 0.0004588774583007827]
rxn01479_c	[0.026417817109074065, 0.02840184547688502, 0.030129026489062714]
rxn08615_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn08815_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00126_c	[0.0025606091466368335, 0.0026259187705577475, 0.003117368217301233]
rxn06905_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02584_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn08306_c	[0.01551417354204458, 0.014821828291839291, 0.014288919314136159]
rxn08821_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01871_c	[0.03340498897689718, 0.03235878434956791, 0.03960481923066008]
rxn00405_c	[0.016494934031612504, 0.01660217713732165, 0.01901369725117946]
rxn14301_c	[0.002844324879002706, 0.003054450324819256, 0.003004389053122161]
rxn00299_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01132_c	[0.03340498897689718, 0.03235878434956791, 0.03960481923066008]
rxn04737_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn05735_c	[0.021313323111603017, 0.017891602861255386, 0.022604399976226187]
rxn03921_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn02484_c	[0.02258616148143812, 0.024311366758429702, 0.024697994914331275]
rxn05671_c	[0.14905887011852148, 0.14622394194300475, 0.1548478502635199]
rxn03618_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn01133_c	[0.023501219380352892, 0.024311366758429702, 0.030129026489062714]
rxn10321_c	[0.01490313944897029, 0.013849286054390123, 0.01618547002277253]
rxn01000_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00363_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn01281_c	[0.40877165422996264, 1.0, 1.0]
rxn01670_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn03642_c	[0.014115305657411162, 0.014338567292589087, 0.017280993102916524]
rxn02522_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05183_c	[0.01192561749982529, 0.013217160964770656, 0.0032383790756162585]
rxn01300_c	[0.0022440421189443864, 0.0022094276941937527, 0.0023233013903933442]
rxn03886_c	[0.13650071585958998, 0.13682087599949647, 0.14329077784815922]
rxn00786_c	[0.0001911348091727984, 0.00021125565765637568, 0.0001750909321637759]
rxn14054_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn03908_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01100_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00838_c	[0.0019262804986946089, 0.002196292627396466, 0.002128398946027551]
rxn02283_c	[0.0022440421189443864, 0.002380183562558492, 0.0025123139257261055]
rxn05396_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn00831_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn03721_c	[0.03864208274823185, 0.03682142329394637, 0.0402061253983051]
rxn00748_c	[0.002561206442915499, 0.002550939430923231, 0.0030386576147688935]
rxn01255_c	[0.027532371965062946, 0.026953157068034174, 0.02715301608855425]
rxn05872_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn04727_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn00776_c	[0.023501219380352892, 0.02500807259313583, 0.030129026489062714]
rxn05485_c	[0.0007711094957565086, 0.0008099957858327359, 0.0008320835124847331]
rxn14089_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn00214_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10114_c	[0.014104554324395191, 0.014821828291839291, 0.016365915417693607]
rxn01211_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05496_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00109_c	[0.014104554324395191, 0.013849286054390123, 0.01883325185625838]
